,equity
2025-02-18,100000.0
2025-02-19,99992.75791287422
2025-02-20,100179.19989455973
2025-02-21,98753.53163591068
2025-02-24,98045.88471877045
2025-02-25,97026.50334767345
2025-02-26,97134.89242027658
2025-02-27,93932.04541265873
2025-02-28,95132.19272926764
2025-03-03,92640.02247936811
2025-03-04,92613.37144406905
2025-03-05,93712.47257627595
2025-03-06,92557.52472390317
2025-03-07,93009.81260638504
2025-03-10,90023.51121553392
2025-03-11,89801.20891333403
2025-03-12,91644.48071334486
2025-03-13,90448.50710559201
2025-03-14,93077.16586246765
2025-03-17,93067.25379542085
2025-03-18,91871.35459078499
2025-03-19,92894.52779297734
2025-03-20,92903.2381520066
2025-03-21,93181.64517457642
2025-03-24,94430.28698801462
2025-03-25,94743.1032228221
2025-03-26,92924.79648570532
2025-03-27,92606.6669937081
2025-03-28,90755.4441430943
2025-03-31,90795.93815933853
2025-04-01,91440.74694716634
2025-04-02,91656.36852550691
2025-04-03,86537.4065381737
2025-04-04,82269.67385042748
2025-04-07,82329.25030069485
2025-04-08,80996.04061358226
2025-04-09,89025.65133154608
2025-04-10,85769.86035685023
2025-04-11,87842.79014997983
2025-04-14,88136.43563326294
2025-04-15,88414.38296694652
2025-04-16,85178.03767423671
2025-04-17,84817.88425923292
2025-04-21,83232.60144420386
2025-04-22,85093.14782085824
2025-04-23,86642.9178270753
2025-04-24,88769.9495487537
2025-04-25,89999.77227044768
2025-04-28,89783.18033465835
2025-04-29,90105.53020326787
2025-04-30,90238.55321300053
2025-05-01,92356.79302216123
2025-05-02,92589.0246072545
2025-05-05,91959.63803520003
2025-05-06,91590.41734594294
2025-05-07,92245.15144213059
2025-05-08,92679.64786282805
2025-05-09,92674.71800718977
2025-05-12,96083.6020277987
2025-05-13,97202.50603973478
2025-05-14,98750.6077513514
2025-05-15,98734.572863483
2025-05-16,98970.81827709037
2025-05-19,99007.23409841758
2025-05-20,98535.89763328675
2025-05-21,97240.92949208204
2025-05-22,97364.02120833966
2025-05-23,96317.44681060166
2025-05-27,98200.86694050337
2025-05-28,97879.38562460925
2025-05-29,98694.72431736851
2025-05-30,98151.50362503574
2025-06-02,98907.74835035171
2025-06-03,100021.88293068066
2025-06-04,100147.93676331942
2025-06-05,99535.17638960127
2025-06-06,100538.33411984079
2025-06-09,100593.94673418508
2025-06-10,100916.56507636962
2025-06-11,100381.22481357907
2025-06-12,101051.14566849869
2025-06-13,99895.09438665528
2025-06-16,100957.05406646403
2025-06-17,100392.64683774216
2025-06-18,100819.07325591108
2025-06-20,101093.81577639951
2025-06-23,101745.22100544904
2025-06-24,102803.21769207562
2025-06-25,104270.10465053662
2025-06-26,104712.67270429534
2025-06-27,105358.21805886415
2025-06-30,106041.40552622937
2025-07-01,105307.62556038053
2025-07-02,106746.18644042936
2025-07-03,107681.37134689902
2025-07-07,106978.28701947823
2025-07-08,107157.4863941305
2025-07-09,108082.56575289062
2025-07-10,108325.94452345943
2025-07-11,108313.9716169698
2025-07-14,107900.71038316742
2025-07-15,109004.57632779118
2025-07-16,109239.4297844609
2025-07-17,109789.7926119805
2025-07-18,109655.40557196045
2025-07-21,109657.90837782859
2025-07-22,109011.86708131118
2025-07-23,109793.69323005591
2025-07-24,110316.58727160546
2025-07-25,110526.3909720511
2025-07-28,111022.47334519602
2025-07-29,110576.62872532845
2025-07-30,110576.11030195965
2025-07-31,110787.77353581852
